,,,,,,,,CoreA,,,CoreB,,,CoreC,,,CoreD,,
SOCVendor,SOCModel,ProductName,ReleaseTime,GPUBrand,GPUModel,GPUCore,GPUFreq,Model,Count,Freq,Model,Count,Freq,Model,Count,Freq,Model,Count,Freq
MediaTek,MT6833GP,,,Mali,G57,2,950,,,,,,,A76,2,2.4,A55,6,2
MediaTek,MT6833V/NZA,Dimensity 700,2021.1Q,Mali,G57,2,950,,,,,,,A76,2,2.2,A55,6,2
MediaTek,MT6833V/PNZA,Dimensity 810,2021.3Q,Mali,G57,2,950,,,,,,,A76,2,2.4,A55,6,2
MediaTek,MT6833P,Dimensity 810,2021.3Q,Mali,G57,2,950,,,,,,,A76,2,2.4,A55,6,2
MediaTek,MT6833V/ZA,Dimensity 700,2021.1Q,Mali,G57,2,950,,,,,,,A76,2,2.2,A55,6,2
MediaTek,MT6853T,Dimensity 800U,2020.3Q,Mali,G57,3,850,,,,,,,A76,2,2.4,A55,6,2
MediaTek,MT6853V/TNZA,Dimensity 800U,2020.3Q,Mali,G57,3,850,,,,,,,A76,2,2.4,A55,6,2
MediaTek,MT6875,Dimensity 820,,Mali,G57,5,,,,,,,,A76,4,2.6,A55,4,2
MediaTek,MT6877V/TTZA,Dimensity 1080,2022,Mali,G68,4,800,,,,,,,A78,2,2.6,A55,6,2
MediaTek,MT6877V/TZA,Dimensity 920,2021.3Q,Mali,G68,4,900,,,,,,,A78,2,2.5,A55,6,2
MediaTek,MT6877V/ZA,Dimensity 900,2021.2Q,Mali,G68,4,900,,,,,,,A78,2,2.4,A55,6,2
MediaTek,MT6889Z/CZA,Dimensity 1000+,2020.2Q,Mali,G77,9,836,,,,,,,A77,4,2.6,A55,4,2
MediaTek,MT6891,,,Mali,G77,9,836,,,,,,,A78,4,2.6,A55,4,2
MediaTek,MT6891Z/CZA,Dimensity 1100,2021.1Q,Mali,G77,9,836,,,,,,,A78,4,2.6,A55,4,2
MediaTek,MT6893Z_B/CZA,Dimensity 1200-MAX,,Mali,G77,9,850,,,,A78,1,3,A78,3,2.6,A55,4,2
MediaTek,MT6893Z_T/CZA,Dimensity 8050,2023.2Q,Mali,G77,9,850,,,,A78,1,3,A78,3,2.6,A55,4,2
MediaTek,MT6893Z_Z/CZA,,,Mali,G77,9,850,,,,A78,1,3,A78,3,2.6,A55,4,2
MediaTek,MT6893Z/CZA,Dimensity 1300,2022.2Q,Mali,G77,9,850,,,,A78,1,3,A78,3,2.6,A55,4,2
MediaTek,MT8168B,,,Mali,G52,1,800,,,,,,,,,,A53,4,2
MediaTek,MT8183,Helio P60T,,Mali,G72,3,,,,,,,,A73,4,2,A53,4,2
MediaTek,MT8765WA,,,PowerVR,GE8100,1,570,,,,,,,,,,A53,4,1.3
MediaTek,MT8765WB,,,PowerVR,GE8100,1,570,,,,,,,,,,A53,4,1.3
MediaTek,MT8766B,,,PowerVR,GE8320,1,550,,,,,,,,,,A53,4,2
MediaTek,MT8768WT,Helio P22T,,PowerVR,GE8320,1,,,,,,,,A53,4,2.3,A53,4,
MediaTek,MT8786V/CT,Helio G80,,Mali,G52,2,950,,,,,,,A75,2,2,A55,6,1.8
Exynos,5433,,,Mali,T760,6,,,,,,,,A57,4,1.9,A53,4,1.3
Exynos,7420,,,Mali,T760,1,266,,,,,,,A57,4,2.1,A53,4,1.5
Exynos,850,,,Mali,G52,1,,,,,,,,A55,4,2,A55,4,2
Hisilicon,Kirin620,,,Mali,450,4,500,,,,,,,,,,A53,8,1.2
Hisilicon,Kirin650,,,Mali,T830,,900,,,,,,,A53,4,2,A53,4,1.7
Hisilicon,Kirin710,,,Mali,G51,4,,,,,,,,A73,4,2.2,A53,4,1.7
Hisilicon,Kirin810,,,Mali,G52,6,,,,,,,,A76,2,2.27,A55,6,1.88
Hisilicon,Kirin820,,,Mali,G57,6,,,,,A76,1,2.36,A76,3,2.22,A55,4,1.84
Hisilicon,Kirin910,,,Mali,450,4,533,,,,,,,,,,A9,4,1.6
Hisilicon,Kirin920,,,Mali,T624,4,600,,,,,,,A15,4,1.7,A7,4,1.3
Hisilicon,Kirin930,,,Mali,628,4,680,,,,,,,A53,4,2.2,A53,4,1.5
Hisilicon,Kirin950,,,Mali,T880,4,,,,,,,,A72,4,2.3,A53,4,1.8
Hisilicon,Kirin960,,,Mali,G71,8,,,,,,,,A73,4,2.4,A53,4,1.8
Hisilicon,Kirin970,,,Mali,G72,12,,,,,,,,A73,4,,A53,4,
Hisilicon,Kirin980,,,Mali,G76,10,,,,,A76,2,2.6,A76,2,1.92,A55,4,1.8
Hisilicon,Kirin985,,,Mali,G77,8,,,,,A76,1,2.58,A76,3,2.4,A55,4,1.84
Hisilicon,Kirin990,,,Mali,G76,16,,,,,A76,2,2.86,A76,2,2.09,A55,4,1.86
Hisilicon,Kirin990 5G,,,Mali,G76,16,,,,,A76,2,2.86,A76,2,2.36,A55,4,1.95
Hisilicon,Kirin9000,,,Mali,G78,24,,,,,A77,1,3.13,A77,3,2.54,A55,4,2.05
Hisilicon,Kirin9000E,,,Mali,G78,22,,,,,A77,1,3.13,A77,3,2.54,A55,4,2.05
Spreadtrum,SC7731e,,,Mali,T720,1,600,,,,,,,,,,A7,4,1.3
Unisoc,SC7731e,,,Mali,T720,1,600,,,,,,,,,,A7,4,1.3
Unisoc,SC9832E,,,Mali,T820,1,680,,,,,,,,,,A53,4,1.4
Unisoc,SC9832e,,,Mali,T820,1,680,,,,,,,,,,A53,4,1.4
Unisoc,SC9863A,,,PowerVR,GE8322,1,550,,,,,,,,,,A55,8,1.6
Unisoc,SC9863a,,,PowerVR,GE8322,1,550,,,,,,,,,,A55,8,1.6
Unisoc,SC9863A1,,,PowerVR,GE8322,1,550,,,,,,,,,,A55,8,1.6
Unisoc,T310,,,PowerVR,GM9446,1,800,,,,,,,A75,1,2,A55,3,1.8
Unisoc,T606,,,Mali,G57,1,650,,,,,,,A75,2,1.6,A55,6,1.6
Unisoc,T610,,,Mali,G52 3EE,2,614,,,,,,,A75,2,1.8,A55,6,1.8
Unisoc,T612,,,Mali,G57,1,650,,,,,,,A75,2,1.8,A55,6,1.8
Unisoc,T616,,,Mali,G57,1,750,,,,,,,A75,2,2,A55,6,1.8
Unisoc,T618,,,Mali,G52 3EE,2,850,,,,,,,A75,2,2,A55,6,2
Unisoc,T700,,,Mali,G52,1,,,,,,,,A75,4,1.8,A55,4,1.8
Unisoc,T710,,,PowerVR,GM9446,1,800,,,,,,,A75,4,1.8,A55,4,1.8
Unisoc,UMS312,,,PowerVR,GT7200,1,800,,,,,,,A75,1,2,A55,3,1.8
Unisoc,ums512,,,Mali,G52 3EE,2,614,,,,,,,A75,2,1.8,A55,6,1.8
Unisoc,ums9230,,,Mali,G57,1,614,,,,,,,A75,2,1.8,A55,6,1.8
Unisoc,ums9230H,,,Mali,G57,1,614,,,,,,,A75,2,1.8,A55,6,1.8
Unisoc,ums9230T,,,Mali,G57,1,614,,,,,,,A75,2,2,A55,6,1.8
