,,,,,,,,CoreA,,,CoreB,,,CoreC,,,CoreD,,
SOCVendor,SOCModel,ProductName,ReleaseTime,GPUBrand,GPUModel,GPUCore,GPUFreq,Model,Count,Freq,Model,Count,Freq,Model,Count,Freq,Model,Count,Freq
Qualcomm,SM4350,Snapdragon 480 5G (8nm),,Adreno,619,1,650,,,,,,,A76,2,2,A55,6,1.8
Qualcomm,SM4375,Snapdragon 4 Gen 1,2022.3Q,Adreno,619,1,700,,,,,,,Kryo Gold,2,2,Kryo Silver,6,1.8
Qualcomm,SM4450,Snapdragon 4 Gen 2,2023.2Q,Adreno,613,1,955,,,,,,,Kryo Gold,2,2.2,Kryo Silver,6,2
Qualcomm,APQ8064-1AA,Snapdragon 600,2013.1Q,Adreno,320,1,400,,,,,,,Krait 300,4,1.5,,,
Qualcomm,APQ8064M,Snapdragon 600,2013.1Q,Adreno,320,1,400,,,,,,,Krait 300,4,1.7,,,
Qualcomm,APQ8064T,Snapdragon 600,2013.1Q,Adreno,320,1,400,,,,,,,Krait 300,4,1.7,,,
Qualcomm,APQ8064AB,Snapdragon 600,2013.1Q,Adreno,320,1,450,,,,,,,Krait 300,4,1.9,,,
Qualcomm,MSM8936,Snapdragon 610,2014.3Q,Adreno,405,1,550,,,,,,,A53,4,1.7,,,
Qualcomm,MSM8939,Snapdragon 615,2014.3Q,Adreno,405,1,550,,,,,,,A53,4,1.5,A53,4,1
Qualcomm,MSM8939 v2,Snapdragon 616,2015.3Q,Adreno,405,1,550,,,,,,,A53,4,1.7,A53,4,1.2
Qualcomm,MSM8952,Snapdragon 617,2015.4Q,Adreno,405,1,550,,,,,,,A53,4,1.5,A53,4,1.2
Qualcomm,MSM8953,Snapdragon 625,2016.2Q,Adreno,506,1,650,,,,,,,A53,8,2,,,
Qualcomm,MSM8953 Pro,Snapdragon 626,2016.4Q,Adreno,506,1,650,,,,,,,A53,8,2.2,,,
Qualcomm,SDM630,Snapdragon 630,2017.2Q,Adreno,508,1,700,,,,,,,A53,4,2.2,A53,4,1.8
Qualcomm,SDM632,Snapdragon 632,2018.3Q,Adreno,506,1,725,,,,,,,A73,4,1.8,A53,4,1.8
Qualcomm,SDM636,Snapdragon 636,2017.4Q,Adreno,509,1,430,,,,,,,A73,4,1.8,A53,4,1.6
Qualcomm,MSM8956,Snapdragon 650,2016.1Q,Adreno,510,1,600,,,,,,,A72,2,1.8,A53,4,1.4
Qualcomm,MSM8976,Snapdragon 652,2016.1Q,Adreno,510,1,600,,,,,,,A72,4,1.8,A53,4,1.4
Qualcomm,MSM8976 Pro,Snapdragon 653,2016.4Q,Adreno,510,1,600,,,,,,,A72,4,1.95,A53,4,1.44
Qualcomm,MSM8976SG,Snapdragon 653 (28nm),,Adreno,510,1,600,,,,,,,A72,4,1.95,A53,4,1.44
Qualcomm,SDM660,Snapdragon 660,2017.2Q,Adreno,512,1,647,,,,,,,A73,4,2.2,A53,4,1.84
Qualcomm,SDA660,Snapdragon 660,2017.2Q,Adreno,512,1,647,,,,,,,A73,4,2.2,A53,4,1.84
Qualcomm,SM6115,Snapdragon 662,2020.1Q,Adreno,610,1,950,,,,,,,A73,4,2,A53,4,1.8
Qualcomm,SDM662,Snapdragon 662 (11nm),,Adreno,610,1,950,,,,,,,A73,4,2,A53,4,1.8
